Id,Dt_Customer,Recency,CustomerTenure,MntTotal,TotalPurchases,Perc_WebPurchases,Perc_CatalogPurchases,Perc_StorePurchases,Income,Kidhome,Teenhome,Education,Marital_Status,NumWebVisitsMonth,CLV_simple,CLV_log,Churn_KMeans,Valioso,Churn_Valioso_KMeans,Prob_Churn_Valioso_Modelo
2281,2013-09-15,34,447,28,4,0.25,0.0,0.5,33697.0,1,0,Graduation,Single,7,112,5.419453571161482,0,0,0,0.0
10634,2014-04-19,56,231,406,15,0.2666666666666666,0.1333333333333333,0.5333333333333333,59412.0,0,0,Master,Married,3,6090,16.659967672003834,0,0,0,0.0
3409,2013-10-15,68,417,339,15,0.4666666666666667,0.0666666666666666,0.2666666666666666,36108.0,1,0,Graduation,Single,9,5085,16.161268881935058,0,0,0,0.0
7828,2014-04-30,29,220,818,12,0.25,0.25,0.4166666666666667,77882.0,0,0,Master,Together,1,9816,17.20589596067689,0,1,0,0.0
2350,2013-03-22,87,624,1027,20,0.15,0.1,0.4,59666.0,1,1,Graduation,Married,8,20540,21.114890936816906,1,1,1,0.98
3790,2014-01-23,31,317,15,4,0.25,0.0,0.5,34633.0,2,1,Graduation,Together,6,60,4.462309405159923,0,0,0,0.0
6445,2013-07-14,73,510,858,16,0.25,0.3125,0.375,66825.0,0,0,Graduation,Together,2,13728,19.140534659126068,0,1,0,0.0
10307,2013-08-31,91,462,525,19,0.3157894736842105,0.1052631578947368,0.4210526315789473,50387.0,0,2,Graduation,Married,5,9975,18.76916504653532,1,1,1,0.93
10525,2012-10-13,40,784,27,4,0.25,0.0,0.5,26576.0,1,0,Graduation,Single,9,108,5.362976270659874,0,0,0,0.0
5077,2013-02-11,46,663,969,24,0.25,0.25,0.4583333333333333,77298.0,0,1,Graduation,Together,3,23256,22.13716206500412,0,1,0,0.0
2541,2013-09-06,7,456,48,7,0.2857142857142857,0.0,0.4285714285714285,24027.0,1,0,Graduation,Married,8,336,8.092812800644039,0,0,0,0.0
7881,2013-09-28,21,434,1033,24,0.25,0.1666666666666666,0.5416666666666666,66835.0,0,0,Master,Married,2,24792,22.34282886407517,0,1,0,0.0
455,2013-04-18,86,597,209,10,0.4,0.1,0.4,51012.0,0,0,PhD,Married,6,2090,12.821803871051989,1,0,0,0.0
24,2014-02-15,96,294,47,12,0.25,0.0,0.3333333333333333,17144.0,1,1,Master,Together,7,564,9.929434545532647,1,0,0,0.0
6866,2014-03-23,56,258,34,5,0.2,0.0,0.6,35924.0,1,1,Master,Together,5,170,6.370328555575266,0,0,0,0.0
4418,2013-02-25,36,649,1644,25,0.28,0.2,0.48,89616.0,0,0,Master,Single,2,41100,24.1278197826033,0,1,0,0.0
9365,2012-12-22,57,714,1277,24,0.4583333333333333,0.125,0.2083333333333333,60000.0,0,1,PhD,Single,6,30648,23.02478498173421,0,1,0,0.0
7235,2013-09-12,37,450,38,9,0.2222222222222222,0.0,0.4444444444444444,17003.0,1,0,2n Cycle,Married,5,342,8.435662433642852,0,0,0,0.0
4201,2013-03-03,39,643,468,19,0.2105263157894736,0.1052631578947368,0.4210526315789473,57967.0,0,1,Graduation,Single,5,8892,18.42555921524504,0,1,0,0.0
1676,2013-10-30,30,402,266,15,0.2666666666666666,0.1333333333333333,0.3333333333333333,43057.0,0,1,Graduation,Married,5,3990,15.49114261862988,0,0,0,0.0
7274,2012-09-28,87,799,2153,22,0.1818181818181818,0.3181818181818182,0.4545454545454545,78618.0,0,0,Graduation,Married,2,47366,24.06517477165232,1,1,1,0.95
6357,2013-11-17,29,384,491,18,0.3888888888888889,0.0555555555555555,0.3888888888888889,59052.0,0,1,2n Cycle,Divorced,5,8838,18.25104234437352,0,1,0,0.0
11181,2013-08-29,85,464,8,0,0.0,0.0,0.0,156924.0,0,0,PhD,Married,0,0,0.0,1,0,0,0.01
5154,2013-11-08,54,393,54,6,0.3333333333333333,0.0,0.5,37760.0,1,0,Master,Divorced,6,324,7.797910315790021,0,0,0,0.0
2986,2014-12-03,89,3,20,4,0.25,0.0,0.5,30772.0,1,1,Graduation,Married,6,80,4.899969836528364,1,0,0,0.0
10704,2012-08-21,65,837,693,19,0.3157894736842105,0.1052631578947368,0.4736842105263157,54803.0,0,1,Graduation,Single,4,13167,19.599494400912285,0,1,0,0.0
5832,2014-04-20,32,230,1263,21,0.1428571428571428,0.238095238095238,0.6190476190476191,92556.0,0,0,2n Cycle,Together,0,26523,22.07633825585654,0,1,0,0.01
966,2013-05-07,98,578,691,25,0.24,0.08,0.44,44529.0,0,1,Graduation,Married,5,17275,21.306602362091837,1,1,1,0.77
9449,2013-04-10,32,605,605,19,0.2631578947368421,0.1052631578947368,0.5789473684210527,79761.0,0,1,PhD,Single,3,11495,19.193297147054988,0,1,0,0.0
8629,2013-03-26,71,620,41,5,0.2,0.0,0.6,46984.0,1,1,Graduation,Widow,5,205,6.697004931405235,0,0,0,0.0
7937,2014-04-18,86,232,58,7,0.4285714285714285,0.0,0.4285714285714285,24711.0,0,0,Graduation,Married,7,406,8.479000748612567,1,0,0,0.0
3112,2013-05-09,2,576,24,5,0.2,0.0,0.6,22701.0,1,0,Master,Married,5,120,5.767451239476864,0,0,0,0.0
8230,2014-01-23,28,317,71,6,0.3333333333333333,0.0,0.5,33228.0,1,0,Graduation,Married,7,426,8.32200800511434,0,0,0,0.0
5341,2013-05-01,2,584,1588,14,0.4285714285714285,0.2142857142857142,0.2857142857142857,81975.0,0,1,2n Cycle,Divorced,7,22232,19.960659356286023,0,1,0,0.0
9958,2014-03-29,54,252,769,21,0.4285714285714285,0.0952380952380952,0.4285714285714285,65685.0,0,1,Graduation,Married,5,16149,20.544275242992367,0,1,0,0.0
10069,2012-08-31,43,827,58,5,0.4,0.0,0.4,13724.0,1,0,Basic,Together,9,290,7.305966326250032,0,0,0,0.0
810,2014-12-05,49,1,641,19,0.2105263157894736,0.1052631578947368,0.5789473684210527,74190.0,0,1,Graduation,Married,2,12179,19.366175816603665,0,1,0,0.0
6203,2013-08-24,58,469,1734,26,0.2307692307692307,0.2692307692307692,0.4615384615384615,74485.0,0,0,Graduation,Together,3,45084,24.582865056326877,0,1,0,0.0
375,2013-02-25,79,649,1156,16,0.125,0.125,0.6875,76773.0,0,0,Graduation,Divorced,1,18496,19.984313205729595,0,1,0,0.01
955,2012-10-28,81,769,240,17,0.2352941176470588,0.1176470588235294,0.2352941176470588,47175.0,1,1,Master,Together,8,4080,15.853102154356876,0,0,0,0.01
4324,2012-10-29,42,768,684,21,0.3809523809523809,0.0476190476190476,0.3333333333333333,42387.0,1,0,Graduation,Married,8,14364,20.182710824826074,0,1,0,0.0
4093,2013-11-02,61,399,436,19,0.2105263157894736,0.1578947368421052,0.2631578947368421,53253.0,1,1,Master,Together,5,8284,18.21385209360009,0,1,0,0.01
7230,2012-04-10,98,970,493,22,0.1818181818181818,0.2272727272727272,0.3181818181818182,50611.0,0,1,PhD,Divorced,6,10846,19.44801423823785,1,1,1,0.96
6941,2013-07-14,92,510,95,6,0.3333333333333333,0.1666666666666666,0.3333333333333333,31632.0,0,0,Graduation,Single,7,570,8.881811469599526,1,0,0,0.0
10617,2014-05-22,34,198,30,8,0.375,0.0,0.375,10979.0,0,0,Master,Divorced,5,240,7.545241083952861,0,0,0,0.0
4356,2013-08-28,70,465,1574,14,0.2142857142857142,0.2142857142857142,0.3571428571428571,71819.0,0,1,Graduation,Together,6,22036,19.936694153855512,0,1,0,0.0
2428,2013-04-05,23,610,78,9,0.2222222222222222,0.0,0.4444444444444444,28164.0,1,0,Graduation,Married,7,702,10.061025489705411,0,0,0,0.0
6710,2012-11-17,84,749,103,7,0.2857142857142857,0.0,0.5714285714285714,58217.0,2,1,Master,Single,6,721,9.657739371474332,1,0,0,0.0
8895,2012-05-10,68,940,968,21,0.1428571428571428,0.238095238095238,0.5714285714285714,70596.0,0,0,Graduation,Single,2,20328,21.254825835879803,0,1,0,0.0
5621,2012-12-12,8,724,316,17,0.3529411764705882,0.0588235294117647,0.2941176470588235,48752.0,1,1,Graduation,Married,9,5372,16.645367043713016,0,0,0,0.0
1915,2013-12-12,57,359,1507,20,0.4,0.25,0.3,78939.0,0,0,PhD,Married,3,30140,22.281457866981228,0,1,0,0.0
2804,2012-08-18,86,840,120,11,0.2727272727272727,0.1818181818181818,0.1818181818181818,46098.0,1,1,Master,Single,8,1320,11.917091817743763,1,0,0,0.0
7192,2013-04-15,58,600,545,18,0.1111111111111111,0.2222222222222222,0.5555555555555556,65748.0,0,1,Graduation,Together,1,9810,18.55767698301736,0,1,0,0.0
11121,2012-10-11,76,786,70,11,0.3636363636363636,0.0,0.2727272727272727,19419.0,1,0,Graduation,Married,9,770,10.59236157237746,0,0,0,0.0
4587,2013-07-18,90,506,266,12,0.25,0.0833333333333333,0.5833333333333334,45006.0,0,0,Master,Widow,3,3192,14.331009856341554,1,0,0,0.0
1655,2013-10-19,81,413,48,5,0.2,0.0,0.6,34350.0,1,0,Graduation,Together,7,240,6.973205871673667,0,0,0,0.0
10790,2013-02-19,40,655,21,4,0.25,0.0,0.5,18169.0,1,0,PhD,Married,8,84,4.974840913378188,0,0,0,0.0
5955,2012-11-17,27,749,1932,16,0.25,0.1875,0.5,72025.0,0,0,Graduation,Together,3,30912,21.43843941947765,0,1,0,0.0
4065,2013-12-02,0,369,404,16,0.3125,0.0625,0.5,49544.0,1,0,PhD,Married,7,6464,17.010292954732783,0,1,0,0.04
1517,2013-06-14,92,540,51,5,0.2,0.0,0.6,30822.0,1,0,Graduation,Single,7,255,7.079678347996145,1,0,0,0.0
4712,2012-11-28,18,738,82,7,0.1428571428571428,0.1428571428571428,0.5714285714285714,20193.0,0,0,2n Cycle,Together,4,574,9.18872072591402,0,0,0,0.0
3129,2014-05-22,30,198,45,6,0.3333333333333333,0.0,0.5,30096.0,1,0,Graduation,Married,6,270,7.450192150521437,0,0,0,0.0
10277,2013-02-21,27,653,42,5,0.2,0.0,0.6,30081.0,0,1,Graduation,Single,7,210,6.739165922955596,0,0,0,0.0
10629,2012-09-14,25,813,109,9,0.3333333333333333,0.0,0.3333333333333333,,1,0,2n Cycle,Married,8,981,10.823256020184818,0,0,0,0.0
10669,2013-05-17,8,568,470,17,0.1764705882352941,0.1176470588235294,0.5882352941176471,54386.0,0,1,Graduation,Married,3,7990,17.78982800880367,0,1,0,0.03
4646,2013-01-12,44,693,978,25,0.2,0.28,0.48,78497.0,0,0,2n Cycle,Married,2,24450,22.436984903504047,0,1,0,0.0
